         2323358 function calls (2294986 primitive calls) in 4.423 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 polar.py:1(<module>)
        1    0.000    0.000    0.009    0.009 rnn.py:896(GRU)
      437    0.000    0.000    0.009    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.009    0.009 node.py:1(<module>)
    75964    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
     2714    0.004    0.000    0.009    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.009    0.009 reinplace.py:1(<module>)
     2929    0.009    0.000    0.009    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
        1    0.000    0.000    0.009    0.009 datapipe.py:1(<module>)
     8144    0.004    0.000    0.009    0.000 typing.py:1169(__setattr__)
        1    0.000    0.000    0.009    0.009 numerictypes.py:1(<module>)
       82    0.000    0.000    0.009    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.008    0.008 exported_program.py:1(<module>)
        1    0.000    0.000    0.008    0.008 rnn.py:598(LSTM)
    77927    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.008    0.008 constraint_registry.py:1(<module>)
     1848    0.006    0.000    0.008    0.000 inspect.py:3015(__init__)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
       94    0.001    0.000    0.008    0.000 __init__.py:1391(_preprocess_data)
     2190    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
     2032    0.005    0.000    0.008    0.000 functools.py:35(update_wrapper)
     4641    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.008    0.008 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.008    0.008 rnn.py:367(RNN)
        6    0.000    0.000    0.008    0.001 conv.py:1(<module>)
      954    0.000    0.000    0.008    0.000 artist.py:1542(is_alias)
        2    0.000    0.000    0.008    0.004 quantization_mappings.py:1(<module>)
      225    0.000    0.000    0.008    0.000 typing.py:726(Optional)
    54853    0.008    0.000    0.008    0.000 {built-in method builtins.min}
       57    0.000    0.000    0.008    0.000 __init__.py:454(inner)
 1197/247    0.003    0.000    0.008    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.008    0.008 _tensor.py:1(<module>)
      352    0.001    0.000    0.008    0.000 typing.py:1430(__getitem__)
    47332    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
     4641    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      124    0.005    0.000    0.007    0.000 {built-in method builtins.eval}
       26    0.000    0.000    0.007    0.000 _jit_internal.py:862(_check_overload_body)
        4    0.000    0.000    0.007    0.002 profiler.py:1(<module>)
       26    0.000    0.000    0.007    0.000 _sources.py:119(parse_def)
       26    0.000    0.000    0.007    0.000 _sources.py:102(make_source_context)
      148    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
        1    0.000    0.000    0.007    0.007 PngImagePlugin.py:1(<module>)
      148    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1641(_fill_cache)
